类型,航班起始日期,航班截止日期,班期,航班号,出发站,到达站,STD,STA,ETD,ETA,机型,机号,dd_flag,飞机,机组,乘务,apt_access,VIP,重点航班,rpl_remark,固定衔接环,专项整治,放区,release_seat,alarm_flag,flt_task,航班类型,调整原因,备注,状态,issue_flag,scen_name,bill_no
取消,2025/6/26 0:00,2025/6/26 0:00,___4___,1910,BHY,PEK,2025/6/26 19:00,2025/6/26 22:25,2025/6/26 19:00,2025/6/26 22:25,73K,B1761,0,本部,重庆,重庆,n,0,,,0,,蓉,DM C-6,0,正班,国内,工程机务,因B225N飞机滑油系统混有液压油，CA1805/6，CA1909/1910航班取消，不补，及后续航班调整。,拟制,方案,PEK-C-jiehao-2025-06-25-1917,154354959
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,1910,BHY,PEK,2025/6/26 19:00,2025/6/26 22:25,2025/6/26 19:00,2025/6/26 22:25,73K,B1946,0,本部,重庆,重庆,n,0,,"换飞机,",0,,,,0,正班,国内,,航班计划进入72小时运控权限，航班计划衔接原因，进行调整。,拟制,方案,PEK-C-shenbw2019-2025-06-24-0839,154249914
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,1925,PEK,ZHA,2025/6/26 13:40,2025/6/26 17:25,2025/6/26 13:40,2025/6/26 17:25,73V,B1416,0,重庆,本部,本部,n,0,,"换飞机,",0,,京,DM B-8,0,正班,国内,工程机务,b1958 副驾驶右侧信号灯故障机务排故CA1417/8 取消不补其他航班调整,拟制,方案,PEK-C-shenbowen-2025-06-26-1047,154370233
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,1925,PEK,ZHA,2025/6/26 13:40,2025/6/26 17:25,2025/6/26 13:40,2025/6/26 17:25,73V,B7181,0,重庆,重庆,本部,n,0,,"换飞机,",0,,京,,0,正班,国内,,航班计划进入72小时运控权限，航班计划衔接原因，进行调整。,拟制,方案,PEK-C-gaopeng-2025-06-24-2040,154274196
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,1926,ZHA,PEK,2025/6/26 18:10,2025/6/26 21:55,2025/6/26 18:10,2025/6/26 21:55,73V,B1416,0,重庆,本部,本部,n,0,,"换飞机,",0,,蓉,DM C-6,0,正班,国内,工程机务,b1958 副驾驶右侧信号灯故障机务排故CA1417/8 取消不补其他航班调整,拟制,方案,PEK-C-shenbowen-2025-06-26-1047,154370233
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,1926,ZHA,PEK,2025/6/26 18:10,2025/6/26 21:55,2025/6/26 18:10,2025/6/26 21:55,73V,B7181,0,重庆,重庆,本部,n,0,,"换飞机,",0,,,,0,正班,国内,,航班计划进入72小时运控权限，航班计划衔接原因，进行调整。,拟制,方案,PEK-C-gaopeng-2025-06-24-2040,154274196
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,1929,PEK,YIH,2025/6/26 17:45,2025/6/26 20:00,2025/6/26 17:45,2025/6/26 20:00,32W,B1852,0,湖北,浙江,湖北,n,0,,"换飞机,",0,,京,,0,正班,国内,公司计划,航班计划进入72小时运控权限，航班计划衔接原因，进行调整。,拟制,方案,PEK-F-lihaotian-2025-06-24-0950,154198888
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,1930,YIH,PEK,2025/6/26 20:45,2025/6/26 22:55,2025/6/26 20:45,2025/6/26 22:55,32W,B1852,0,湖北,浙江,湖北,n,0,,"换飞机,",0,,,,0,正班,国内,公司计划,航班计划进入72小时运控权限，航班计划衔接原因，进行调整。,拟制,方案,PEK-F-lihaotian-2025-06-24-0950,154198888
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,1931,PEK,NNG,2025/6/26 20:45,2025/6/26 23:55,2025/6/26 20:45,2025/6/26 23:55,73V,B1416,0,重庆,本部,本部,n,0,,"换飞机,",0,,京,,0,正班,国内,,航班计划进入72小时运控权限，航班计划衔接原因，进行调整。,拟制,方案,PEK-C-gaopeng-2025-06-24-2040,154274196
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,1931,PEK,NNG,2025/6/26 20:45,2025/6/26 23:55,2025/6/26 20:45,2025/6/26 23:55,73V,B7181,0,重庆,本部,本部,n,0,,"换飞机,",0,,京,DM B-8,0,正班,国内,工程机务,b1958 副驾驶右侧信号灯故障机务排故CA1417/8 取消不补其他航班调整,拟制,方案,PEK-C-shenbowen-2025-06-26-1047,154370233
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,1931,PEK,NNG,2025/6/26 20:45,2025/6/26 23:55,2025/6/26 20:45,2025/6/26 23:55,73V,B1416,0,重庆,本部,本部,n,0,,"机型,换飞机,",0,,,,0,正班,国内,,航班计划进入72小时运控权限，航班计划衔接原因，进行调整。,拟制,方案,PEK-C-shenbw2019-2025-06-24-0839,154249914
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,1931,PEK,NNG,2025/6/26 20:45,2025/6/26 23:55,2025/6/26 20:45,2025/6/26 23:55,73T,B1768,0,重庆,本部,本部,n,0,,"机型,换飞机,",0,,京,,0,正班,国内,,航班计划进入72小时运控权限，航班计划衔接原因，进行调整。,拟制,方案,PEK-C-shenbw2019-2025-06-24-0949,154252506
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,1932,NNG,PEK,2025/6/26 8:00,2025/6/26 11:25,2025/6/26 8:00,2025/6/26 11:25,73V,B7181,0,重庆,本部,本部,n,0,,"换飞机,",0,,,,0,正班,国内,,航班计划进入72小时运控权限，航班计划衔接原因，进行调整。,拟制,方案,PEK-C-gaopeng-2025-06-24-2040,154274196
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,1933,PEK,NNG,2025/6/26 15:25,2025/6/26 18:55,2025/6/26 15:25,2025/6/26 18:55,73K,B1977,0,本部,重庆,重庆,n,0,,"时刻,",0,,京,DM B-8,0,正班,国内,天气原因,因西南中南区域受雷雨天气影响，航班预战术调时。,拟制,预案,PEK-E-dongsiyao-2025-06-25-2242,154324539
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,1933,PEK,NNG,2025/6/26 15:25,2025/6/26 18:55,2025/6/26 15:25,2025/6/26 18:55,73K,B1977,0,本部,重庆,重庆,n,0,,"时刻,机型,换飞机,机组归属,",0,,京,DM B-8,0,正班,国内,天气原因,因中南区域受雷雨天气影响，航班预战术调时。,作废,预案,PEK-E-dongsiyao-2025-06-25-2228,154324449
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,1933,PEK,NNG,2025/6/26 15:25,2025/6/26 18:55,2025/6/26 17:50,2025/6/26 21:20,73K,B1977,0,本部,重庆,重庆,n,0,,"换飞机,",0,,京,DM B-8,0,正班,国内,,B1958右大翼后缘襟翼因外来物造成分层。,拟制,方案,PEK-N-wangweichen-2025-06-26-0207,154359461
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,1933,PEK,NNG,2025/6/26 15:25,2025/6/26 18:55,2025/6/26 15:25,2025/6/26 18:55,73K,B1977,0,本部,重庆,重庆,n,0,,"时刻,",0,,京,DM B-8,0,正班,国内,天气原因,因华南区域受雷雨天气影响，航班预战术调时。,拟制,方案,PEK-XXX-matengfei-2025-06-26-0146,154325809
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,1933,PEK,NNG,2025/6/26 15:25,2025/6/26 18:55,2025/6/26 17:50,2025/6/26 21:20,73K,B1958,0,本部,重庆,重庆,n,0,,"机型,换飞机,飞机归属,",0,,京,DM B-8,0,正班,国内,工程机务,B1958 右大翼后缘襟翼排故航班调整,拟制,预案,PEK-C-shenbowen-2025-06-26-1030,154369910
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,1933,PEK,NNG,2025/6/26 15:25,2025/6/26 18:55,2025/6/26 15:25,2025/6/26 18:55,73A,B5392,0,重庆,重庆,重庆,n,0,,"机型,换飞机,飞机归属,",0,,京,DM B-8,0,正班,国内,工程机务,B326D换一发无法按时出来，26日需调空，CA1489/90取消不补,拟制,方案,PEK-E-dongsiyao-2025-06-25-326D,154318691
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,1934,NNG,PEK,2025/6/26 19:45,2025/6/26 22:55,2025/6/26 22:30,2025/6/27 1:40,73K,B1977,0,本部,重庆,重庆,n,0,,"换飞机,",0,,蓉,DM C-6,0,正班,国内,,B1958右大翼后缘襟翼因外来物造成分层。,拟制,方案,PEK-N-wangweichen-2025-06-26-0207,154359461
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,1934,NNG,PEK,2025/6/26 19:45,2025/6/26 22:55,2025/6/26 19:45,2025/6/26 22:55,73K,B1977,0,本部,重庆,重庆,n,0,,"时刻,",0,,蓉,DM C-6,0,正班,国内,天气原因,因华南区域受雷雨天气影响，航班预战术调时。,拟制,方案,PEK-XXX-matengfei-2025-06-26-0146,154325809
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,1934,NNG,PEK,2025/6/26 19:45,2025/6/26 22:55,2025/6/26 19:45,2025/6/26 22:55,73K,B1977,0,本部,重庆,重庆,n,0,,"时刻,",0,,蓉,DM C-6,0,正班,国内,天气原因,因西南中南区域受雷雨天气影响，航班预战术调时。,拟制,预案,PEK-E-dongsiyao-2025-06-25-2242,154324539
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,1934,NNG,PEK,2025/6/26 19:45,2025/6/26 22:55,2025/6/26 19:45,2025/6/26 22:55,73A,B5392,0,重庆,重庆,重庆,n,0,,"机型,换飞机,飞机归属,",0,,蓉,DM C-6,0,正班,国内,工程机务,B326D换一发无法按时出来，26日需调空，CA1489/90取消不补,拟制,方案,PEK-E-dongsiyao-2025-06-25-326D,154318691
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,1934,NNG,PEK,2025/6/26 19:45,2025/6/26 22:55,2025/6/26 19:45,2025/6/26 22:55,73K,B1977,0,本部,重庆,重庆,n,0,,"时刻,机型,换飞机,机组归属,",0,,蓉,DM C-6,0,正班,国内,天气原因,因中南区域受雷雨天气影响，航班预战术调时。,作废,预案,PEK-E-dongsiyao-2025-06-25-2228,154324449
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,1934,NNG,PEK,2025/6/26 19:45,2025/6/26 22:55,2025/6/26 22:30,2025/6/27 1:40,73K,B1958,0,本部,重庆,重庆,n,0,,"机型,换飞机,飞机归属,",0,,蓉,DM C-6,0,正班,国内,工程机务,B1958 右大翼后缘襟翼排故航班调整,拟制,预案,PEK-C-shenbowen-2025-06-26-1030,154369910
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,1935,PEK,NNG,2025/6/26 11:25,2025/6/26 15:10,2025/6/26 11:25,2025/6/26 15:10,73T,B1768,0,重庆,重庆,重庆,n,1,,"换飞机,",0,,京,DM B-8,0,正班,国内,工程机务,B1768飞机更换右发油滤，航班调整。,拟制,方案,PEK-D-liyang-2025-06-25-2113,154358436
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,1935,PEK,NNG,2025/6/26 11:25,2025/6/26 15:10,2025/6/26 11:25,2025/6/26 15:10,73V,B1416,0,重庆,重庆,重庆,n,0,,"机型,换飞机,",0,,,,0,正班,国内,,航班计划进入72小时运控权限，航班计划衔接原因，进行调整。,拟制,方案,PEK-C-shenbw2019-2025-06-24-0839,154249914
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,1936,NNG,PEK,2025/6/26 16:00,2025/6/26 19:30,2025/6/26 16:00,2025/6/26 19:30,73V,B1416,0,重庆,重庆,重庆,n,0,,"机型,换飞机,",0,,,,0,正班,国内,,航班计划进入72小时运控权限，航班计划衔接原因，进行调整。,拟制,方案,PEK-C-shenbw2019-2025-06-24-0839,154249914
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,1936,NNG,PEK,2025/6/26 16:00,2025/6/26 19:30,2025/6/26 16:00,2025/6/26 19:30,73T,B1768,0,重庆,重庆,重庆,n,0,,"换飞机,",0,,蓉,DM C-6,0,正班,国内,工程机务,B1768飞机更换右发油滤，航班调整。,拟制,方案,PEK-D-liyang-2025-06-25-2113,154358436
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,195,PVG,TPE,2025/6/26 11:30,2025/6/26 13:25,2025/6/26 11:30,2025/6/26 13:25,333,B6512,0,本部,西南,上海,n,0,,"时刻,",0,,沪,DM S-4,0,正班,地区,,,拟制,方案,PEK-N-majun-2025-06-25-2121,154322861
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,195,PVG,TPE,2025/6/26 11:30,2025/6/26 13:25,2025/6/26 11:30,2025/6/26 13:25,333,B6512,0,本部,西南,上海,n,0,,"时刻,",0,,沪,DM S-4,0,正班,地区,天气原因,华东中南区域雷雨，航班调时。,拟制,预案,PEK-N-majun-2025-06-25-2108,154322333
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,1957,PEK,HUZ,2025/6/26 7:15,2025/6/26 10:30,2025/6/26 7:15,2025/6/26 10:30,32D,B325Z,0,西南,浙江,西南,n,0,,"机型,换飞机,",0,,京,,0,正班,国内,公司计划,因保障重要运输任务，航班调整。,拟制,方案,PEK-F-lihaotian-2025-06-24-1604,154200110
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,1958,HUZ,PEK,2025/6/26 11:15,2025/6/26 14:25,2025/6/26 11:15,2025/6/26 14:25,31C,B6478,0,西南,浙江,西南,n,0,,"时刻,",0,,蓉,DM C-5,0,正班,国内,军事活动,因华南区域受三方用户占用空域影响，按CDM时间，航班推迟。,拟制,方案,PEK-G-xuesenrong-2025-06-26-0955,154330976
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,1958,HUZ,PEK,2025/6/26 11:15,2025/6/26 14:25,2025/6/26 11:15,2025/6/26 14:25,32D,B325Z,0,西南,浙江,西南,n,0,,"机型,换飞机,",0,,蓉,,0,正班,国内,公司计划,因保障重要运输任务，航班调整。,拟制,方案,PEK-F-lihaotian-2025-06-24-1604,154200110
取消,2025/6/26 0:00,2025/6/26 0:00,___4___,1971,PEK,CSX,2025/6/26 16:10,2025/6/26 18:50,2025/6/26 16:10,2025/6/26 18:50,737,B5220,0,重庆,本部,本部,n,0,,,0,,京,DM B-8,0,正班,国内,工程机务,因B5426飞机右侧垂尾皮托管故障，26日CA1971/2，CA1537/8航班取消，不补，及后续航班调整。,拟制,方案,PEK-C-jiehao-2025-06-25-2223,154358834
取消,2025/6/26 0:00,2025/6/26 0:00,___4___,1972,CSX,PEK,2025/6/26 19:50,2025/6/26 22:30,2025/6/26 19:50,2025/6/26 22:30,737,B5220,0,重庆,本部,本部,n,0,,,0,,蓉,DM C-6,0,正班,国内,工程机务,因B5426飞机右侧垂尾皮托管故障，26日CA1971/2，CA1537/8航班取消，不补，及后续航班调整。,拟制,方案,PEK-C-jiehao-2025-06-25-2223,154358834
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2511,TFU,KHG,2025/6/26 14:55,2025/6/26 19:45,2025/6/26 14:55,2025/6/26 19:45,32T,B305K,0,西南,西南,西南,n,0,,"机型,换飞机,",0,,蓉,DM C-1,0,正班,国内,天气原因,因义乌机场受本场天气影响，前序晚起，后续航班调整。,拟制,方案,PEK-G-xuesenrong-2025-06-26-1302,154333819
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2512,KHG,TFU,2025/6/26 20:35,2025/6/27 0:55,2025/6/26 20:35,2025/6/27 0:55,32T,B305K,0,西南,西南,西南,n,0,,"机型,换飞机,",0,,京,DM B-X,0,正班,国内,天气原因,因义乌机场受本场天气影响，前序晚起，后续航班调整。,拟制,方案,PEK-G-xuesenrong-2025-06-26-1302,154333819
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2515,TFU,YIN,2025/6/26 6:50,2025/6/26 11:15,2025/6/26 6:50,2025/6/26 11:15,32D,B321K,0,西南,西南,西南,n,0,,"换飞机,",0,,蓉,DM N-A,0,正班,国内,工程机务,B30C6内窥需晚出港；B321K定检出厂，暂不执行疆域航班,拟制,方案,PEK-G-songhuafeng-2025-06-25-1953,154320135
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2515,TFU,YIN,2025/6/26 6:50,2025/6/26 11:15,2025/6/26 6:50,2025/6/26 11:15,32D,B321K,0,西南,西南,西南,n,0,,"换飞机,",0,,,,0,正班,国内,天气原因,因芒市本场周边航路天气，CA2549备降昆明，后续航班推迟及调整,作废,预案,PEK-F-lihaotian-2025-06-24-1333,154199644
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2516,YIN,TFU,2025/6/26 12:05,2025/6/26 16:05,2025/6/26 12:05,2025/6/26 16:05,32D,B321K,0,西南,西南,西南,n,0,,"换飞机,",0,,京,DM B-X,0,正班,国内,工程机务,B30C6内窥需晚出港；B321K定检出厂，暂不执行疆域航班,拟制,方案,PEK-G-songhuafeng-2025-06-25-1953,154320135
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2516,YIN,TFU,2025/6/26 12:05,2025/6/26 16:05,2025/6/26 12:05,2025/6/26 16:05,32D,B321K,0,西南,西南,西南,n,0,,"换飞机,",0,,,,0,正班,国内,天气原因,因芒市本场周边航路天气，CA2549备降昆明，后续航班推迟及调整,作废,预案,PEK-F-lihaotian-2025-06-24-1333,154199644
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2517,TFU,HMI,2025/6/26 17:35,2025/6/26 20:35,2025/6/26 17:35,2025/6/26 20:35,32L,B6793,0,广东,西南,西南,n,0,,"机型,换飞机,飞机归属,",0,,蓉,DM C-1,0,正班,国内,天气原因,因广州机场受本场天气影响，前序晚起，后续调整。,拟制,方案,PEK-G-xuesenrong-2025-06-26-1541,154337002
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2518,HMI,TFU,2025/6/26 21:25,2025/6/27 0:15,2025/6/26 21:25,2025/6/27 0:15,32L,B6793,0,广东,西南,西南,n,0,,"机型,换飞机,飞机归属,",0,,京,DM B-X,0,正班,国内,天气原因,因广州机场受本场天气影响，前序晚起，后续调整。,拟制,方案,PEK-G-xuesenrong-2025-06-26-1541,154337002
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2529,TFU,URC,2025/6/26 15:45,2025/6/26 19:20,2025/6/26 15:45,2025/6/26 19:20,32D,B9925,0,西南,西南,西南,n,0,,"换飞机,",0,,蓉,OW,0,正班,国内,,,拟制,预案,PEK-G-songhuafeng-2025-06-25-1713,154317029
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2529,TFU,URC,2025/6/26 15:45,2025/6/26 19:20,2025/6/26 16:45,2025/6/26 20:20,32D,B9925,0,西南,西南,西南,n,0,,"机型,换飞机,",0,,蓉,DM C-1,0,正班,国内,天气原因,因义乌机场受本场天气影响，前序晚起，后续航班调整。,拟制,方案,PEK-G-xuesenrong-2025-06-26-1302,154333819
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2529,TFU,URC,2025/6/26 15:45,2025/6/26 19:20,2025/6/26 15:45,2025/6/26 19:20,32D,B9925,0,西南,西南,西南,n,0,,"时刻,",0,,蓉,DM C-1,0,正班,国内,天气原因,因兰州区域雷雨，航班调时,拟制,方案,PEK-N-yangdiqing-2025-06-26-1117,154332330
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2530,URC,TFU,2025/6/26 20:20,2025/6/27 0:05,2025/6/26 20:20,2025/6/27 0:05,32D,B9925,0,西南,西南,西南,n,0,,"换飞机,",0,,京,OW,0,正班,国内,,,拟制,预案,PEK-G-songhuafeng-2025-06-25-1713,154317029
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2530,URC,TFU,2025/6/26 20:20,2025/6/27 0:05,2025/6/26 21:40,2025/6/27 1:25,32D,B9925,0,西南,西南,西南,n,0,,"机型,换飞机,",0,,京,DM B-X,0,正班,国内,天气原因,因义乌机场受本场天气影响，前序晚起，后续航班调整。,拟制,方案,PEK-G-xuesenrong-2025-06-26-1302,154333819
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2530,URC,TFU,2025/6/26 20:20,2025/6/27 0:05,2025/6/26 20:20,2025/6/27 0:05,32D,B9925,0,西南,西南,西南,n,0,,"时刻,",0,,京,DM B-X,0,正班,国内,天气原因,因兰州区域雷雨，航班调时,拟制,方案,PEK-N-yangdiqing-2025-06-26-1117,154332330
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2531,TFU,LXA,2025/6/26 14:00,2025/6/26 16:40,2025/6/26 14:00,2025/6/26 16:40,31C,B6046,0,西南,西南,西南,n,0,,"换飞机,",0,,蓉,DM C-2,0,正班,国内,公司计划,因保障重要运输任务，航班调整。,拟制,方案,PEK-G-songhuafeng-2025-06-25-2042,154321904
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2532,LXA,TFU,2025/6/26 17:30,2025/6/26 19:40,2025/6/26 17:30,2025/6/26 19:40,31C,B6046,0,西南,西南,西南,n,0,,"换飞机,",0,,蓉,DM C-2,0,正班,国内,公司计划,因保障重要运输任务，航班调整。,拟制,方案,PEK-G-songhuafeng-2025-06-25-2042,154321904
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2533,TFU,LZY,2025/6/26 7:35,2025/6/26 9:45,2025/6/26 7:35,2025/6/26 9:45,31C,B6046,0,西南,西南,西南,n,0,,"换飞机,",0,,蓉,DM N-A,0,正班,国内,公司计划,因保障重要运输任务，航班调整。,拟制,方案,PEK-G-songhuafeng-2025-06-25-2042,154321904
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2534,LZY,TFU,2025/6/26 10:40,2025/6/26 12:40,2025/6/26 10:40,2025/6/26 12:40,31C,B6046,0,西南,西南,西南,n,0,,"换飞机,",0,,蓉,DM C-2,0,正班,国内,公司计划,因保障重要运输任务，航班调整。,拟制,方案,PEK-G-songhuafeng-2025-06-25-2042,154321904
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2535,AHJ,LXA,2025/6/26 11:30,2025/6/26 13:50,2025/6/26 11:30,2025/6/26 13:50,31C,B6223,0,西南,西南,西南,n,0,,"换飞机,",0,,蓉,DM C-2,0,正班,国内,公司计划,因保障重要运输任务，航班调整。,拟制,方案,PEK-G-songhuafeng-2025-06-25-2042,154321904
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2535,TFU,AHJ,2025/6/26 9:35,2025/6/26 10:45,2025/6/26 9:35,2025/6/26 10:45,31C,B6223,0,西南,西南,西南,n,0,,"换飞机,",0,,蓉,DM C-2,0,正班,国内,公司计划,因保障重要运输任务，航班调整。,拟制,方案,PEK-G-songhuafeng-2025-06-25-2042,154321904
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2538,LXA,TFU,2025/6/26 14:45,2025/6/26 17:05,2025/6/26 14:45,2025/6/26 17:05,31C,B6223,0,西南,西南,西南,n,0,,"换飞机,",0,,蓉,DM C-2,0,正班,国内,公司计划,因保障重要运输任务，航班调整。,拟制,方案,PEK-G-songhuafeng-2025-06-25-2042,154321904
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2539,TFU,LZY,2025/6/26 6:45,2025/6/26 8:50,2025/6/26 6:45,2025/6/26 8:50,31C,B6228,0,西南,西南,西南,n,0,,"换飞机,",0,,蓉,DM N-A,0,正班,国内,公司计划,因保障重要运输任务，航班调整。,拟制,方案,PEK-G-songhuafeng-2025-06-25-2042,154321904
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2540,LZY,TFU,2025/6/26 11:40,2025/6/26 13:40,2025/6/26 11:40,2025/6/26 13:40,31C,B6237,0,西南,西南,西南,n,0,,"换飞机,",0,,,,0,正班,国内,公司计划,因保障重要运输任务，航班调整。,拟制,方案,PEK-F-lihaotian-2025-06-24-1604,154200110
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2541,TFU,KMG,2025/6/26 21:45,2025/6/26 23:15,2025/6/26 21:45,2025/6/26 23:15,32D,B9923,0,西南,西南,西南,n,0,,"换飞机,",0,,蓉,DM C-0,0,正班,国内,工程机务,因B9923/6225需早回更换IDG，航班调整。,拟制,方案,PEK-G-xuesenrong-2025-06-26-0935,154330663
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2559,TFU,KWE,2025/6/26 15:10,2025/6/26 16:40,2025/6/26 15:10,2025/6/26 16:40,ARJ,B655W,0,西南,西南,西南,n,0,,"换飞机,",0,,蓉,DM C-0,0,正班,国内,工程机务,C909飞机性能调整,拟制,方案,PEK-C-jiehao-2025-06-25-2158,154358689
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2560,KWE,TFU,2025/6/26 17:55,2025/6/26 19:20,2025/6/26 17:55,2025/6/26 19:20,ARJ,B655W,0,西南,西南,西南,n,0,,"换飞机,",0,,蓉,DM C-7,0,正班,国内,工程机务,C909飞机性能调整,拟制,方案,PEK-C-jiehao-2025-06-25-2158,154358689
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2581,TFU,LHW,2025/6/26 18:20,2025/6/26 19:55,2025/6/26 18:20,2025/6/26 19:55,31C,B2364,0,西南,西南,西南,n,0,,"换飞机,",0,,蓉,DM C-0,0,正班,国内,天气原因,因北海机场受干雷天气影响，CA2671备降，后续航班调整。,拟制,方案,PEK-G-xuesenrong-2025-06-26-1402,154335469
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2582,LHW,TFU,2025/6/26 20:45,2025/6/26 22:30,2025/6/26 20:45,2025/6/26 22:30,31C,B2364,0,西南,西南,西南,n,0,,"换飞机,",0,,京,DM B-Y,0,正班,国内,天气原因,因北海机场受干雷天气影响，CA2671备降，后续航班调整。,拟制,方案,PEK-G-xuesenrong-2025-06-26-1402,154335469
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2585,TFU,XNN,2025/6/26 19:00,2025/6/26 20:35,2025/6/26 19:00,2025/6/26 20:35,31C,B2364,0,西南,西南,西南,n,0,,"时刻,",0,,蓉,DM C-0,0,正班,国内,天气原因,因北海机场受干雷天气影响，前序备降，后续延误。,拟制,方案,PEK-G-xuesenrong-2025-06-26-1609,154403247
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2585,TFU,XNN,2025/6/26 19:00,2025/6/26 20:35,2025/6/26 19:00,2025/6/26 20:35,31C,B6226,0,西南,西南,西南,n,0,,"换飞机,",0,,蓉,DM C-0,0,正班,国内,天气原因,因北海机场受干雷天气影响，CA2671备降，后续航班调整。,拟制,方案,PEK-G-xuesenrong-2025-06-26-1402,154335469
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2586,XNN,TFU,2025/6/26 21:25,2025/6/26 23:10,2025/6/26 21:25,2025/6/26 23:10,31C,B2364,0,西南,西南,西南,n,0,,"时刻,",0,,京,DM B-Y,0,正班,国内,天气原因,因北海机场受干雷天气影响，前序备降，后续延误。,拟制,方案,PEK-G-xuesenrong-2025-06-26-1609,154403247
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2586,XNN,TFU,2025/6/26 21:25,2025/6/26 23:10,2025/6/26 21:25,2025/6/26 23:10,31C,B6226,0,西南,西南,西南,n,0,,"换飞机,",0,,京,DM B-Y,0,正班,国内,天气原因,因北海机场受干雷天气影响，CA2671备降，后续航班调整。,拟制,方案,PEK-G-xuesenrong-2025-06-26-1402,154335469
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2601,TFU,NTG,2025/6/26 8:50,2025/6/26 11:40,2025/6/26 8:50,2025/6/26 11:40,32D,B32AR,0,西南,西南,西南,n,0,,"换飞机,",0,,蓉,DM N-B,0,正班,国内,工程机务,B30C6内窥需晚出港；B321K定检出厂，暂不执行疆域航班,拟制,方案,PEK-G-songhuafeng-2025-06-25-1953,154320135
变更,2025/6/26 0:00,2025/6/26 0:00,___4___,2602,NTG,TFU,2025/6/26 12:30,2025/6/26 15:25,2025/6/26 12:30,2025/6/26 15:25,32D,B32AR,0,西南,西南,西南,n,0,,"换飞机,",0,,沪,DM S-3,0,正班,国内,工程机务,B30C6内窥需晚出港；B321K定检出厂，暂不执行疆域航班,拟制,方案,PEK-G-songhuafeng-2025-06-25-1953,154320135
