类型,航班起始日期,航班截止日期,班期,航班号,出发站,到达站,STD,STA,ETD,ETA,机型,机号,dd_flag,飞机,机组,乘务,apt_access,VIP,重点航班,rpl_remark,固定衔接环,专项整治,放区,release_seat,alarm_flag,flt_task,航班类型,调整原因,备注,状态,issue_flag,scen_name,bill_no
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1223,PEK,XIY,2025/6/23 12:00,2025/6/23 14:15,2025/6/23 12:00,2025/6/23 14:15,73Z,B1396,0,本部,重庆,本部,n,0,,"换飞机,",0,,京,DM B-1,0,正班,国内,,B1396    1发火警故障，灭火手柄灯不亮，更换两次灯泡后测试B环路不亮，回京量线。,拟制,方案,PEK-D-anzhicheng-2025-06-23-0915,154189389
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1224,XIY,PEK,2025/6/23 15:30,2025/6/23 18:00,2025/6/23 15:30,2025/6/23 18:00,73Z,B1396,0,本部,重庆,本部,n,0,,"换飞机,",0,,京,DM B-4,0,正班,国内,,B1396    1发火警故障，灭火手柄灯不亮，更换两次灯泡后测试B环路不亮，回京量线。,拟制,方案,PEK-D-anzhicheng-2025-06-23-0915,154189389
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1302,CAN,PEK,2025/6/23 19:40,2025/6/23 22:55,2025/6/23 19:40,2025/6/23 22:55,773,B2088,0,本部,本部,本部,n,0,,"时刻,",0,,蓉,DM C-5,0,正班,国内,天气原因,因华南对流天气，航班调时,拟制,方案,PEK-D-anzhicheng-2025-06-23-1304,154190248
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1302,CAN,PEK,2025/6/23 19:40,2025/6/23 22:55,2025/6/23 19:40,2025/6/23 22:55,773,B2088,0,本部,本部,本部,n,0,,"时刻,",0,,蓉,DM C-5,0,正班,国内,天气原因,因华南区域对流天气，航班调时,拟制,预案,PEK-D-anzhicheng-2025-06-23-1104,154189836
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1305,PEK,SZX,2025/6/23 18:00,2025/6/23 21:35,2025/6/23 18:00,2025/6/23 21:35,77W,B7952,0,本部,本部,本部,n,0,,"时刻,",0,,京,DM B-7,0,正班,国内,军事活动,因第三方用户活动，航班预战术调时。,拟制,方案,PEK-A-tianlei-2025-06-23-0805,154212088
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1309,PEK,CAN,2025/6/23 18:00,2025/6/23 21:20,2025/6/23 18:00,2025/6/23 21:20,77W,B1429,0,本部,本部,本部,n,0,,"时刻,",0,,京,DM B-7,0,正班,国内,天气原因,因华南航路雷雨流控，航班调时,拟制,方案,PEK-B-liuxiaolei-2025-06-23-1008,154189688
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1322,CAN,PEK,2025/6/23 13:40,2025/6/23 17:00,2025/6/23 13:40,2025/6/23 17:00,789,B1431,1,本部,本部,本部,n,0,,"时刻,",0,,蓉,DM C-6,0,正班,国内,天气原因,华南航路雷雨，航班调时,拟制,方案,PEK-N-dongjinsheng-2025-06-23-0646,154189156
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1329,PEK,CAN,2025/6/23 21:00,2025/6/24 0:20,2025/6/23 21:00,2025/6/24 0:20,359,B307C,1,本部,本部,本部,n,0,,"时刻,",0,,京,DM B-7,0,正班,国内,军事活动,因第三方用户活动，航班预战术调时。,拟制,方案,PEK-A-tianlei-2025-06-23-0805,154212088
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1329,PEK,CAN,2025/6/23 21:00,2025/6/24 0:20,2025/6/23 22:20,2025/6/24 1:40,359,B307C,0,本部,本部,本部,n,0,,"换飞机,",0,,京,DM B-7,0,正班,国内,工程机务,B307C   有多份娱乐和客舱保留，今日回京航后排除，航班调整,拟制,方案,PEK-B-liuxiaolei-2025-06-23-1038,154189743
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1357,PEK,SZX,2025/6/23 15:00,2025/6/23 18:25,2025/6/23 15:00,2025/6/23 18:25,359,B32F0,0,本部,本部,本部,n,0,,"换飞机,",0,,京,DM B-7,0,正班,国内,,航班计划进入72小时运控权限，航班计划衔接原因，进行调整。,拟制,方案,PEK-A-gaopeng-2025-06-23-0934,154189538
